DATE,MONTH,DAY,YEAR,STATE,CASES,DEATHS
2021-01-06,1,6,2021,Oklahoma,311573,2633
2021-01-06,1,6,2021,Oregon,120243,1571
2021-01-06,1,6,2021,Pennsylvania,689162,16960
2021-01-06,1,6,2021,Puerto Rico,113227,1570
2021-01-06,1,6,2021,Rhode Island,95463,1890
2021-01-06,1,6,2021,South Carolina,333235,5582
2021-01-06,1,6,2021,South Dakota,101684,1519
2021-01-06,1,6,2021,Tennessee,610347,7312
2021-01-06,1,6,2021,Texas,1887800,29278
2021-01-06,1,6,2021,Utah,292720,1333
2021-01-06,1,6,2021,Vermont,8158,152
2021-01-06,1,6,2021,Virgin Islands,2042,23
2021-01-06,1,6,2021,Virginia,377300,5226
2021-01-06,1,6,2021,Washington,265790,3681
2021-01-06,1,6,2021,West Virginia,94678,1481
2021-01-06,1,6,2021,Wisconsin,535999,5442
2021-01-06,1,6,2021,Wyoming,45890,464
2021-01-07,1,7,2021,Alabama,389230,5080
2021-01-07,1,7,2021,Alaska,48961,214
2021-01-07,1,7,2021,Arizona,588383,9764
2021-01-07,1,7,2021,Arkansas,245916,3926
2021-01-07,1,7,2021,California,2589250,28554
2021-01-07,1,7,2021,Colorado,354998,5164
2021-01-07,1,7,2021,Connecticut,202758,6287
2021-01-07,1,7,2021,Delaware,62949,949
2021-01-07,1,7,2021,District of Columbia,30750,808
2021-01-07,1,7,2021,Florida,1429714,22480
2021-01-07,1,7,2021,Georgia,699806,10878
2021-01-07,1,7,2021,Guam,8355,124
2021-01-07,1,7,2021,Hawaii,22611,297
2021-01-07,1,7,2021,Idaho,147500,1519
2021-01-07,1,7,2021,Illinois,1010808,18944
2021-01-07,1,7,2021,Indiana,549514,8823
2021-01-07,1,7,2021,Iowa,293189,4065
2021-01-07,1,7,2021,Kansas,240540,3027
2021-01-07,1,7,2021,Kentucky,294951,3161
2021-01-07,1,7,2021,Louisiana,338054,7728
2021-01-07,1,7,2021,Maine,27625,385
2021-01-07,1,7,2021,Maryland,296049,6173
2021-01-07,1,7,2021,Massachusetts,411601,12909
2021-01-07,1,7,2021,Michigan,553222,13863
2021-01-07,1,7,2021,Minnesota,429638,5640
2021-01-07,1,7,2021,Mississippi,231490,5061
2021-01-07,1,7,2021,Missouri,440563,6238
2021-01-07,1,7,2021,Montana,84848,1039
2021-01-07,1,7,2021,Nebraska,174590,1881
2021-01-07,1,7,2021,Nevada,241144,3349
2021-01-07,1,7,2021,New Hampshire,49261,827
2021-01-07,1,7,2021,New Jersey,564750,19646
2021-01-07,1,7,2021,New Mexico,151819,2682
2021-01-07,1,7,2021,New York,1082142,38683
2021-01-07,1,7,2021,North Carolina,595308,7262
2021-01-07,1,7,2021,North Dakota,94163,1348
2021-01-07,1,7,2021,Northern Mariana Islands,125,2
2021-01-07,1,7,2021,Ohio,753068,9462
2021-01-07,1,7,2021,Oklahoma,315354,2672
2021-01-07,1,7,2021,Oregon,121087,1577
2021-01-07,1,7,2021,Pennsylvania,699018,17220
2021-01-07,1,7,2021,Puerto Rico,113513,1588
2021-01-07,1,7,2021,Rhode Island,96591,1910
2021-01-07,1,7,2021,South Carolina,338112,5661
2021-01-07,1,7,2021,South Dakota,102132,1544
2021-01-07,1,7,2021,Tennessee,620557,7424
2021-01-07,1,7,2021,Texas,1910426,29645
2021-01-07,1,7,2021,Utah,297317,1362
2021-01-07,1,7,2021,Vermont,8403,155
2021-01-07,1,7,2021,Virgin Islands,2042,23
2021-01-07,1,7,2021,Virginia,382679,5275
2021-01-07,1,7,2021,Washington,269033,3719
2021-01-07,1,7,2021,West Virginia,96002,1518
2021-01-07,1,7,2021,Wisconsin,540508,5485
2021-01-07,1,7,2021,Wyoming,46168,489
2021-01-08,1,8,2021,Alabama,394287,5191
2021-01-08,1,8,2021,Alaska,49366,214
2021-01-08,1,8,2021,Arizona,602146,9970
2021-01-08,1,8,2021,Arkansas,248860,3966
2021-01-08,1,8,2021,California,2640221,29228
2021-01-08,1,8,2021,Colorado,357465,5207
2021-01-08,1,8,2021,Connecticut,205994,6324
2021-01-08,1,8,2021,Delaware,63503,957
2021-01-08,1,8,2021,District of Columbia,31107,809
2021-01-08,1,8,2021,Florida,1449244,22665
2021-01-08,1,8,2021,Georgia,712785,10958
2021-01-08,1,8,2021,Guam,8368,125
2021-01-08,1,8,2021,Hawaii,22894,301
2021-01-08,1,8,2021,Idaho,148578,1526
2021-01-08,1,8,2021,Illinois,1020011,19110
2021-01-08,1,8,2021,Indiana,555613,8892
2021-01-08,1,8,2021,Iowa,294762,4124
2021-01-08,1,8,2021,Kansas,245415,3148
2021-01-08,1,8,2021,Kentucky,299476,3194
2021-01-08,1,8,2021,Louisiana,341431,7833
2021-01-08,1,8,2021,Maine,28407,426
2021-01-08,1,8,2021,Maryland,299781,6216
2021-01-08,1,8,2021,Massachusetts,419721,12985
2021-01-08,1,8,2021,Michigan,557079,13903
2021-01-08,1,8,2021,Minnesota,432012,5688
2021-01-08,1,8,2021,Mississippi,233665,5101
2021-01-08,1,8,2021,Missouri,445310,6276
2021-01-08,1,8,2021,Montana,85668,1049
2021-01-08,1,8,2021,Nebraska,175655,1808
2021-01-08,1,8,2021,Nevada,244103,3409
2021-01-08,1,8,2021,New Hampshire,50152,846
2021-01-08,1,8,2021,New Jersey,571771,19756
2021-01-08,1,8,2021,New Mexico,153456,2712
2021-01-08,1,8,2021,New York,1101702,38846
2021-01-08,1,8,2021,North Carolina,605187,7383
2021-01-08,1,8,2021,North Dakota,94446,1360
2021-01-08,1,8,2021,Northern Mariana Islands,125,2
2021-01-08,1,8,2021,Ohio,762603,9544
2021-01-08,1,8,2021,Oklahoma,320586,2703
2021-01-08,1,8,2021,Oregon,122847,1590
2021-01-08,1,8,2021,Pennsylvania,709235,17427
2021-01-08,1,8,2021,Puerto Rico,115682,1592
2021-01-08,1,8,2021,Rhode Island,97614,1916
2021-01-08,1,8,2021,South Carolina,344176,5695
2021-01-08,1,8,2021,South Dakota,102580,1556
2021-01-08,1,8,2021,Tennessee,627776,7549
2021-01-08,1,8,2021,Texas,1934504,30109
2021-01-08,1,8,2021,Utah,301110,1383
2021-01-08,1,8,2021,Vermont,8619,156
2021-01-08,1,8,2021,Virgin Islands,2042,23
2021-01-08,1,8,2021,Virginia,387917,5312
2021-01-08,1,8,2021,Washington,273142,3768
2021-01-08,1,8,2021,West Virginia,97898,1554
2021-01-08,1,8,2021,Wisconsin,544618,5530
2021-01-08,1,8,2021,Wyoming,46647,489
2021-01-09,1,9,2021,Alabama,399150,5299
2021-01-09,1,9,2021,Alaska,49681,215
2021-01-09,1,9,2021,Arizona,611900,10083
2021-01-09,1,9,2021,Arkansas,251746,4010
2021-01-09,1,9,2021,California,2687450,29699
2021-01-09,1,9,2021,Colorado,360857,5262
2021-01-09,1,9,2021,Connecticut,205994,6324
2021-01-09,1,9,2021,Delaware,64475,969
2021-01-09,1,9,2021,District of Columbia,31457,813
2021-01-09,1,9,2021,Florida,1464689,22803
2021-01-09,1,9,2021,Georgia,724317,11096
2021-01-09,1,9,2021,Guam,8373,125
2021-01-09,1,9,2021,Hawaii,23122,305
2021-01-09,1,9,2021,Idaho,149316,1530
2021-01-09,1,9,2021,Illinois,1026639,19212
2021-01-09,1,9,2021,Indiana,561579,8966
2021-01-09,1,9,2021,Iowa,296171,4127
2021-01-09,1,9,2021,Kansas,245521,3148
2021-01-09,1,9,2021,Kentucky,303769,3214
2021-01-09,1,9,2021,Louisiana,341431,7833
2021-01-09,1,9,2021,Maine,29019,432
2021-01-09,1,9,2021,Maryland,303535,6246
2021-01-09,1,9,2021,Massachusetts,427135,13074
2021-01-09,1,9,2021,Michigan,559830,14134
2021-01-09,1,9,2021,Minnesota,434481,5731
2021-01-09,1,9,2021,Mississippi,236868,5146
2021-01-09,1,9,2021,Missouri,448586,6309
2021-01-09,1,9,2021,Montana,86116,1054
2021-01-09,1,9,2021,Nebraska,176645,1812
2021-01-09,1,9,2021,Nevada,246659,3457
2021-01-09,1,9,2021,New Hampshire,50871,862
2021-01-09,1,9,2021,New Jersey,579182,19854
2021-01-09,1,9,2021,New Mexico,154954,2734
2021-01-09,1,9,2021,New York,1119541,39041
2021-01-09,1,9,2021,North Carolina,614715,7468
2021-01-09,1,9,2021,North Dakota,94566,1360
2021-01-09,1,9,2021,Northern Mariana Islands,125,2
2021-01-09,1,9,2021,Ohio,770977,9599
2021-01-09,1,9,2021,Oklahoma,324875,2738
2021-01-09,1,9,2021,Oregon,124476,1607
2021-01-09,1,9,2021,Pennsylvania,718642,17681
2021-01-09,1,9,2021,Puerto Rico,116245,1616
2021-01-09,1,9,2021,Rhode Island,97614,1916
2021-01-09,1,9,2021,South Carolina,350084,5758
2021-01-09,1,9,2021,South Dakota,102901,1570
2021-01-09,1,9,2021,Tennessee,634222,7634
2021-01-09,1,9,2021,Texas,1952047,30441
2021-01-09,1,9,2021,Utah,303723,1392
2021-01-09,1,9,2021,Vermont,8790,156
2021-01-09,1,9,2021,Virgin Islands,2042,23
